name,description
Gynaecological Products,Pharmaceutical products specifically designed for the treatment of conditions related to the female reproductive system.
HUMAN PREMIX,"A formulation containing a mixture of human-derived components, often used in various therapeutic applications."
Haemophilus Influenzae Type B Capsular Polysaccharide,"A polysaccharide derived from the capsule of Haemophilus influenzae type b, used in vaccine formulations."
Haemophilus Type B Conjugate Vaccine,A vaccine that combines the polysaccharide from Haemophilus influenzae type b with a protein carrier to enhance immune response.
Halobetasol,A potent topical corticosteroid used to treat inflammatory skin conditions.
Halometasone,Halometasone is a topical corticosteroid used to treat inflammatory skin conditions.
Haloperidol,Haloperidol is an antipsychotic medication primarily used to treat schizophrenia and acute psychosis.
Haloperidol Decanoate,Haloperidol Decanoate is a long-acting injectable form of haloperidol used for the management of schizophrenia.
Halothane,Halothane is a volatile anesthetic agent used for induction and maintenance of general anesthesia.
Hemocoagulase,"Hemocoagulase is a hemostatic agent derived from snake venom, used to promote blood clotting."
Heparin,Heparin is an anticoagulant used to prevent and treat blood clots.
Hepatitis B Vaccine,Hepatitis B Vaccine is a vaccine that provides immunity against hepatitis B virus infection.
Hesperidin,"Hesperidin is a flavonoid glycoside found in citrus fruits, known for its potential antioxidant properties."
Histamine Dihydrochloride,Histamine Dihydrochloride is a compound used in research and as a diagnostic agent in allergy testing.
Homatropine,Homatropine is an anticholinergic agent used to dilate pupils and as a muscle relaxant in the eye.
Homotaurine,Homotaurine is a naturally occurring amino acid derivative that is studied for its potential neuroprotective effects.
Human Gamma Globulin,"Human Gamma Globulin is a preparation of immunoglobulins derived from human plasma, used for passive immunity."
Human Hepatitis B Immunoglobulin,Human Hepatitis B Immunoglobulin is an immunoglobulin preparation used to provide passive immunity against hepatitis B virus.
Human Insulin Soluble Insulin,Human Insulin Soluble Insulin is a form of insulin used to control blood glucose levels in diabetes management.
Human Normal Immunoglobulin,"Human Normal Immunoglobulin is a blood product containing a broad spectrum of antibodies, used for various immunodeficiencies."
Human Papillomavirus Bivalent Vaccine Recombinant,A vaccine designed to protect against two types of human papillomavirus (HPV) that are associated with cervical cancer.
Human Papillomavirus Quadrivalent Vaccine Recombinant,"A vaccine that provides protection against four types of human papillomavirus (HPV), including those that cause cervical cancer and genital warts."
Human Rabies Immunoglobulin,A preparation of antibodies used for post-exposure prophylaxis in individuals who have been exposed to rabies.
Human adenovirus vector vaccine,A type of vaccine that uses a modified adenovirus to deliver genetic material coding for antigens to stimulate an immune response.
Human chorionic gonadotropin,"A hormone produced during pregnancy that is used in various medical treatments, including fertility therapies."
Human insulin,"A hormone produced by the pancreas that regulates glucose levels in the blood, used in the treatment of diabetes."
Hyaluronic Acid,A naturally occurring polysaccharide in the body that retains moisture and is commonly used in skincare and joint health products.
Hyaluronidase,"An enzyme that breaks down hyaluronic acid, used to enhance the absorption and dispersion of other injected drugs."
Hydralazine,A vasodilator medication used to treat high blood pressure and heart failure by relaxing blood vessels.
Hydrochloride,"A salt form of a drug that is combined with hydrochloric acid, often used to enhance solubility and stability."
Hydrochlorothiazide,A thiazide diuretic used to treat high blood pressure and fluid retention.
Hydrocortisone,A corticosteroid used to reduce inflammation and suppress the immune response.
Hydroflumethiazide,A thiazide diuretic that is used to treat hypertension and edema.
Hydrogen Peroxide,"A chemical compound used as a disinfectant and antiseptic, as well as a bleaching agent."
Hydroquinone,A skin-lightening agent used to treat hyperpigmentation and dark spots.
Hydrotalcite,A layered double hydroxide used as an antacid and for the treatment of peptic ulcers.
Hydroxocobalamin,A form of vitamin B12 used to treat vitamin B12 deficiency and as an antidote for cyanide poisoning.
Hydroxychloroquine,An antimalarial medication also used to treat autoimmune diseases such as rheumatoid arthritis and lupus.
Hydroxyethyl Starch,A synthetic colloid used as a volume expander in intravenous therapy.
Hydroxyprogesterone,A synthetic form of progesterone used in hormone replacement therapy and to prevent preterm birth.
Hydroxypropylmethylcellulose,"A cellulose derivative used as a thickening agent, emulsifier, and film-forming agent in pharmaceuticals and food products."
Hydroxyquinolines,"A class of compounds that are derivatives of quinoline, often studied for their potential antimicrobial and antitumor properties."
Hydroxyurea,An antineoplastic agent used primarily in the treatment of certain cancers and sickle cell disease by inhibiting DNA synthesis.
Hydroxyzine,"An antihistamine used to treat anxiety, nausea, and allergies, and also as a sedative before surgery."
Hyoscine butylbromide,An antispasmodic agent used to relieve cramps and spasms in the gastrointestinal tract and urinary system.
Hyoscyamine,Hyoscyamine is an anticholinergic agent used to treat various gastrointestinal disorders and to reduce muscle spasms.
Ibandronic Acid,Ibandronic Acid is a bisphosphonate used to prevent and treat osteoporosis in postmenopausal women.
Ibrutinib,"Ibrutinib is a Bruton's tyrosine kinase inhibitor used in the treatment of certain types of blood cancers, including chronic lymphocytic leukemia."
Ibuprofen,"Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID) used to relieve pain, reduce inflammation, and lower fever."
Ibutilide,Ibutilide is an antiarrhythmic medication used for the rapid conversion of atrial fibrillation and atrial flutter to normal sinus rhythm.
Ichthyol Pale,"Ichthyol Pale is a topical agent derived from sulfur-rich shale oil, used for its anti-inflammatory and antiseptic properties."
Idarubicin,"Idarubicin is an anthracycline chemotherapy drug used primarily in the treatment of certain types of cancer, including leukemia."
Idebenone,"Idebenone is a synthetic analog of coenzyme Q10, used for its antioxidant properties and potential neuroprotective effects."
Idoxuridine,Idoxuridine is an antiviral medication used topically to treat herpes simplex virus infections of the eye.
Ifosfamide,"Ifosfamide is a chemotherapy agent used to treat various cancers, including testicular cancer and sarcomas."
Iguratimod,Iguratimod is an anti-inflammatory drug used primarily in the treatment of rheumatoid arthritis.
Ilaprazole,"Ilaprazole is a proton pump inhibitor used to treat conditions related to excessive stomach acid, such as gastroesophageal reflux disease (GERD)."
Iloperidone,Iloperidone is an atypical antipsychotic medication used for the treatment of schizophrenia.
Imatinib mesylate,"Imatinib mesylate is a targeted therapy used in the treatment of certain types of cancer, including chronic myeloid leukemia (CML) and gastrointestinal stromal tumors (GISTs)."
Imdevimab,"Imdevimab is a monoclonal antibody used in the treatment of COVID-19, specifically for patients at high risk of severe disease."
Imidapril,Imidapril is an angiotensin-converting enzyme (ACE) inhibitor used primarily for the treatment of hypertension.
Imipenem,Imipenem is a broad-spectrum beta-lactam antibiotic used to treat serious infections caused by susceptible bacteria.
Imipramine,Imipramine is a tricyclic antidepressant used to treat major depressive disorder and certain anxiety disorders.
Imiquimod,"Imiquimod is an immune response modifier used topically to treat certain skin conditions, including genital warts and superficial basal cell carcinoma."
Inactivated Hepatitis A Vaccine,Inactivated Hepatitis A Vaccine is used to prevent hepatitis A virus infection and is administered as an injection.
Inactivated Japanese Encephalitis virus protein,A vaccine component derived from the inactivated virus that helps to induce immunity against Japanese Encephalitis.
Inactivated influenza vaccine,A vaccine containing inactivated influenza viruses used to provide immunity against influenza infection.
Indacaterol,A long-acting beta-2 adrenergic agonist used in the management of chronic obstructive pulmonary disease (COPD).
Indapamide,A thiazide-like diuretic used primarily for the treatment of hypertension and edema.
Indinavir,"An antiretroviral medication used in the treatment of HIV infection, classified as a protease inhibitor."
Indomethacin,"Indomethacin is a nonsteroidal anti-inflammatory drug (NSAID) used to relieve pain, swelling, and inflammation."
Infliximab,Infliximab is a monoclonal antibody that inhibits tumor necrosis factor-alpha (TNF-alpha) and is used to treat autoimmune diseases such as rheumatoid arthritis and Crohn's disease.
Inositol nicotinate,"Inositol nicotinate is a compound that combines inositol and niacin, often used for its vasodilatory effects and potential benefits in improving circulation."
Inotuzumab Ozogamacin,Inotuzumab Ozogamacin is a monoclonal antibody-drug conjugate used in the treatment of acute lymphoblastic leukemia (ALL) by targeting CD22.
Insulin Aspart,Insulin Aspart is a rapid-acting insulin analog used to control blood sugar levels in individuals with diabetes.
Insulin Aspart Protamine,A rapid-acting insulin formulation that combines insulin aspart with protamine for extended action.
Insulin Degludec,A long-acting insulin analog that provides a steady release of insulin over an extended period.
Insulin Glargine,A long-acting insulin analog designed to provide a consistent level of insulin over 24 hours.
Insulin Glulisine,A rapid-acting insulin analog that is used to control blood sugar levels during meals.
Insulin Isophane,An intermediate-acting insulin that is often used to manage blood sugar levels in diabetes.
Insulin Isophane NPH,A type of intermediate-acting insulin used to control blood sugar levels in diabetes.
Insulin Lispro,A rapid-acting insulin that helps to lower blood sugar levels quickly after meals.
Insulin Lispro Protamine,A combination of rapid-acting insulin and intermediate-acting insulin used for better blood sugar control.
Insulin detemir,A long-acting insulin that provides a steady release of insulin to help manage blood sugar levels.
Interferon Alpha 2A,A biologic medication used to treat certain viral infections and cancers by modulating the immune response.
Interferon Alpha 2B,A recombinant protein used primarily in the treatment of viral infections and certain types of cancer.
Interferon Beta 1A,A glycoprotein used in the treatment of multiple sclerosis and certain viral infections.
Invert Sugar,"A mixture of glucose and fructose produced by hydrolyzing sucrose, commonly used as a sweetener in food products."
Iohexol,"A non-ionic, water-soluble contrast agent used in radiographic imaging procedures."
Iopamidol,"A non-ionic contrast medium used in various imaging studies, including computed tomography (CT) scans."
Iopromide,"Iopromide is a non-ionic, water-soluble contrast agent used in radiographic imaging."
Ipratropium,Ipratropium is an anticholinergic bronchodilator used to relieve bronchospasm in conditions such as asthma and COPD.
Irbesartan,Irbesartan is an angiotensin II receptor antagonist used primarily for the treatment of hypertension.
Irinotecan,"Irinotecan is a chemotherapy medication used to treat various types of cancer, particularly colorectal cancer."
Iron,Iron is a mineral essential for the formation of hemoglobin and is used in the treatment of iron deficiency anemia.
Iron Hydroxide Polymaltose,"A complex of iron with polymaltose, used as an iron supplement for the treatment of iron deficiency anemia."
Iron Isomaltoside,"A form of iron that is bound to isomaltoside, utilized for iron supplementation in patients with iron deficiency."
Iron Sucrose,"A complex of iron and sucrose, administered intravenously for the treatment of iron deficiency anemia, particularly in patients with chronic kidney disease."
Isavuconazole,An antifungal medication used for the treatment of invasive aspergillosis and mucormycosis.
Iso Amyl Cynoacrylate,"A fast-setting adhesive used in medical applications, particularly for skin closure and wound management."
Isoflurane,Isoflurane is a volatile anesthetic used for the induction and maintenance of general anesthesia.
Isoniazid,Isoniazid is an antibiotic primarily used to treat and prevent tuberculosis.
Isoprenaline,Isoprenaline is a non-selective beta-adrenergic agonist used to treat bradycardia and heart block.
Isopropamide,Isopropamide is an anticholinergic medication used to treat peptic ulcers and other gastrointestinal disorders.
Isopropyl Alcohol,Isopropyl alcohol is a solvent and antiseptic commonly used for disinfecting and cleaning.
Isosorbide Dinitrate,A nitrate used primarily for the treatment of angina pectoris and heart failure by dilating blood vessels.
Isosorbide Mononitrate,A medication used to prevent angina attacks by relaxing blood vessels and improving blood flow.
Isotretinoin,A retinoid used primarily for the treatment of severe acne by reducing sebum production and promoting skin cell turnover.
Isoxsuprine,A vasodilator used to improve blood flow in conditions such as peripheral vascular disease.
Ispaghula,"A soluble fiber derived from the seeds of Plantago ovata, used as a laxative to treat constipation."
Itolizumab,"Itolizumab is a monoclonal antibody used in the treatment of autoimmune diseases, specifically targeting CD6 to modulate T-cell activation."
Itopride,Itopride is a gastroprokinetic agent that enhances gastrointestinal motility and is used to treat functional dyspepsia and gastroparesis.
Itraconazole,"Itraconazole is an antifungal medication used to treat various fungal infections, including those caused by dermatophytes and certain yeasts."
Ivabradine,Ivabradine is a heart rate-lowering medication used in the treatment of chronic stable angina and heart failure by selectively inhibiting the If current in the sinoatrial node.
Ivermectin,"Ivermectin is an antiparasitic agent used to treat various parasitic infections, including onchocerciasis and lymphatic filariasis."
Ixabepilone,"Ixabepilone is a synthetic epothilone used as an anticancer agent, primarily for the treatment of breast cancer."
Kalmegh Dry Extract,Kalmegh Dry Extract is derived from the Andrographis paniculata plant and is traditionally used in herbal medicine for its potential health benefits.
Kanamycin,"Kanamycin is an aminoglycoside antibiotic used to treat various bacterial infections, particularly those caused by gram-negative bacteria."
Ketamine,"Ketamine is a dissociative anesthetic used for induction and maintenance of anesthesia, as well as for pain management and treatment-resistant depression."
Ketoconazole,Ketoconazole is an antifungal medication used to treat fungal infections and is also used in the treatment of certain skin conditions.
Ketoprofen,Ketoprofen is a nonsteroidal anti-inflammatory drug (NSAID) used to relieve pain and reduce inflammation.
Ketorolac,Ketorolac is a potent NSAID primarily used for short-term management of moderate to severe pain.
Ketotifen,Ketotifen is an antihistamine used to prevent allergic reactions and is also utilized in the management of asthma.
Kojic Acid,"Kojic acid is a skin-lightening agent derived from fungi, commonly used in cosmetic products to reduce hyperpigmentation."
L Glutathione Reduced,L Glutathione Reduced is a powerful antioxidant that plays a critical role in cellular protection and detoxification.
L Arginine,L Arginine is an amino acid that is involved in the synthesis of proteins and is a precursor to nitric oxide.
L Carnitine L Tartrate,L Carnitine L Tartrate is a form of carnitine that aids in the transport of fatty acids into the mitochondria for energy production.
L Glutamate,L Glutamate is an amino acid that acts as a neurotransmitter in the brain and is involved in various metabolic processes.
L Glutamine,L Glutamine is an amino acid that plays a key role in protein synthesis and is important for immune function and gut health.
L Isoleucine,L Isoleucine is an essential branched-chain amino acid that is important for muscle metabolism and energy production.
L Leucine,L Leucine is an essential branched-chain amino acid that plays a critical role in protein synthesis and muscle repair.
L Methyl Folate,"L Methyl Folate is the active form of folate, a B-vitamin important for DNA synthesis and repair, and is involved in the metabolism of homocysteine."
L Methyl Folate Calcium,"L Methyl Folate Calcium is a calcium salt of L Methyl Folate, used as a dietary supplement to support folate levels in the body."
L Ornithine L Aspartate,L Ornithine L Aspartate is a compound used to support liver function and may help in the management of ammonia levels in the body.
L alanyl L glutamine,"L Alanyl L Glutamine is a dipeptide composed of the amino acids alanine and glutamine, often used in sports nutrition for muscle recovery."
Labetalol,Labetalol is a non-selective beta-blocker and alpha-1 blocker used primarily to treat high blood pressure.
Lacidipine,Lacidipine is a calcium channel blocker used in the management of hypertension.
Lacosamide,Lacosamide is an anticonvulsant medication used to treat partial-onset seizures in epilepsy.
Lactase,"Lactase is an enzyme that breaks down lactose into glucose and galactose, aiding in the digestion of dairy products."
Lactic Acid,Lactic acid is an organic acid produced in the body during anaerobic metabolism and is used in various pharmaceutical and cosmetic applications.
Lactic acid bacillus,"A type of bacteria that produces lactic acid, commonly used as a probiotic in dietary supplements."
Lactitol,A sugar alcohol used as a low-calorie sweetener and a laxative in some formulations.
Lacto bacillus Rhamnosus,"A strain of probiotic bacteria known for its potential health benefits, including digestive health support."
Lactobacillus,A genus of bacteria that are important for fermentation and are commonly found in yogurt and other fermented foods.
Lactobacillus Acidophilus,A species of Lactobacillus that is often used as a probiotic to promote gut health.
Lactobacillus Brevis,A species of lactic acid bacteria commonly found in fermented foods and known for its probiotic properties.
Lactobacillus Salivarius,A probiotic bacterium that resides in the human gastrointestinal tract and is associated with digestive health.
Lactobacillus Sporogenes,A spore-forming probiotic bacterium that is used in dietary supplements for its potential health benefits.
Lactose,"A disaccharide sugar found in milk and dairy products, composed of glucose and galactose."
Lactulose,A synthetic disaccharide used as a laxative and for the treatment of hepatic encephalopathy.
Lafutidine,Lafutidine is a medication used to treat gastric ulcers and gastroesophageal reflux disease (GERD) by inhibiting gastric acid secretion.
Lamivudine,Lamivudine is an antiviral medication used in the treatment of HIV and chronic hepatitis B infection.
Lamotrigine,Lamotrigine is an anticonvulsant used to treat epilepsy and bipolar disorder by stabilizing mood and preventing seizures.
Lanolin,"Lanolin is a natural, waxy substance derived from sheep's wool, commonly used as a moisturizer in topical formulations."
Lansoprazole,Lansoprazole is a proton pump inhibitor used to reduce stomach acid production for conditions like GERD and peptic ulcers.
Lanthanum Carbonate,A phosphate binder used to reduce serum phosphate levels in patients with chronic kidney disease.
Lapatinib,"An oral tyrosine kinase inhibitor used in the treatment of breast cancer, particularly in HER2-positive cases."
Laropiprant,"A drug that acts as a selective antagonist of the prostaglandin D2 receptor, often used in combination with niacin."
Latanoprost,A prostaglandin analog used topically to lower intraocular pressure in patients with glaucoma or ocular hypertension.
Lecithin,"A fatty substance found in plant and animal tissues, commonly used as an emulsifier in food and dietary supplements."
Ledipasvir,Ledipasvir is an antiviral medication used in combination with sofosbuvir for the treatment of chronic hepatitis C virus infection.
Leflunomide,Leflunomide is an immunomodulatory drug used primarily in the treatment of rheumatoid arthritis and psoriatic arthritis.
Lemborexant,Lemborexant is a dual orexin receptor antagonist indicated for the treatment of insomnia characterized by difficulties with sleep onset and/or sleep maintenance.
Lenalidomide,Lenalidomide is an immunomodulatory drug used in the treatment of multiple myeloma and certain types of myelodysplastic syndromes.
Lenograstim,Lenograstim is a recombinant form of human granulocyte colony-stimulating factor (G-CSF) used to stimulate the production of white blood cells.
Lenvatinib,"Lenvatinib is a tyrosine kinase inhibitor used in the treatment of certain types of cancer, including thyroid cancer."
Lercanidipine,Lercanidipine is a calcium channel blocker used primarily for the treatment of hypertension.
Letrozole,Letrozole is an aromatase inhibitor used in the treatment of hormone receptor-positive breast cancer in postmenopausal women.
Leuprolide,Leuprolide is a gonadotropin-releasing hormone agonist used in the treatment of hormone-sensitive conditions such as prostate cancer and endometriosis.
Levamisole,Levamisole is an anthelmintic agent that was originally used to treat parasitic infections and is also used as an immunomodulator.
Levetiracetam,Levetiracetam is an antiepileptic medication used to treat seizures in epilepsy.
Levo carnitine,"Levo carnitine, also known as L-carnitine, is a nutrient and dietary supplement involved in the metabolism of fatty acids."
Levobunolol,Levobunolol is a non-selective beta-adrenergic antagonist used primarily in the treatment of glaucoma.
Levocetirizine,Levocetirizine is an antihistamine used to relieve allergy symptoms such as runny nose and sneezing.
Levocloperastine,Levocloperastine is an antitussive agent used to relieve cough.
Levodopa,Levodopa is a medication used primarily to treat Parkinson's disease and is a precursor to dopamine.
Levodropropizine,Levodropropizine is an antitussive agent used to relieve cough.
Levofloxacin,Levofloxacin is a fluoroquinolone antibiotic used to treat various bacterial infections.
Levomilnacipran,Levomilnacipran is a serotonin-norepinephrine reuptake inhibitor (SNRI) used in the treatment of major depressive disorder.
Levonadifloxacin,"Levonadifloxacin is a broad-spectrum antibiotic used to treat bacterial infections, particularly skin and soft tissue infections."
Levonorgestrel,Levonorgestrel is a synthetic progestin used in hormonal contraceptives and emergency contraception.
Levosalbutamol,Levosalbutamol is a selective beta-2 adrenergic agonist used as a bronchodilator in the treatment of asthma and chronic obstructive pulmonary disease (COPD).
Levosimendan,"Levosimendan is an inotropic agent used in the management of acute heart failure, enhancing cardiac contractility and promoting vasodilation."
Levosulpiride,Levosulpiride is an atypical antipsychotic and gastroprokinetic agent used in the treatment of gastrointestinal disorders and certain psychiatric conditions.
Lidocaine,Lidocaine is a local anesthetic used to numb tissue in a specific area and is also used as an antiarrhythmic agent.
Light mineral oil,"A colorless, odorless oil derived from petroleum, commonly used as a laxative and in cosmetic formulations."
Linagliptin,"An oral antihyperglycemic agent used in the management of type 2 diabetes, functioning as a DPP-4 inhibitor."
Lincomycin,"An antibiotic used to treat various bacterial infections, particularly those caused by anaerobic bacteria."
Lindane,"An insecticide and acaricide used to treat lice and scabies, known for its neurotoxic effects on parasites."
Linezolid,"An antibiotic used to treat certain serious bacterial infections, particularly those caused by Gram-positive bacteria, including MRSA."
Linseed Oil,"A vegetable oil derived from the seeds of the flax plant, rich in omega-3 fatty acids."
Lipase,An enzyme that catalyzes the hydrolysis of fats and oils into fatty acids and glycerol.
Liposomal Amphotericin B,"A formulation of amphotericin B encapsulated in liposomes, used for antifungal therapy."
Liposomal Dithranol,"A formulation of dithranol encapsulated in liposomes, used for the treatment of psoriasis."
Liquid Paraffin,A mineral oil used as a lubricant and emollient in various pharmaceutical and cosmetic applications.
Liraglutide,Liraglutide is a glucagon-like peptide-1 (GLP-1) receptor agonist used in the management of type 2 diabetes and for weight management.
Lisinopril,Lisinopril is an angiotensin-converting enzyme (ACE) inhibitor used primarily to treat high blood pressure and heart failure.
Lithium carbonate,Lithium carbonate is a mood stabilizer commonly used in the treatment of bipolar disorder.
Live Attenuated Varicella Zoster Virus,Live Attenuated Varicella Zoster Virus is a vaccine used to prevent chickenpox (varicella) and shingles (herpes zoster).
Live Freeze Dried Lactic Acid Bacteria and Bifidobacteria,Live Freeze Dried Lactic Acid Bacteria and Bifidobacteria are probiotics used to support gut health and balance intestinal flora.
Liver Extract,"A preparation derived from animal liver, often used for its nutritional and therapeutic properties."
Liver Fraction Derived From Fresh Liver,"A concentrated component obtained from fresh liver, utilized for its bioactive compounds."
Lixisenatide,A glucagon-like peptide-1 (GLP-1) receptor agonist used in the management of type 2 diabetes.
Lobeglitazone Sulfate,A thiazolidinedione class medication used to improve glycemic control in patients with type 2 diabetes.
Lomefloxacin,A fluoroquinolone antibiotic used to treat various bacterial infections.
Lomustine,"Lomustine is an alkylating agent used in chemotherapy for treating certain types of cancer, including brain tumors and Hodgkin's lymphoma."
Loperamide,Loperamide is an opioid receptor agonist used to reduce the frequency of diarrhea by slowing down gut movement.
Lopinavir,Lopinavir is an antiretroviral medication used in combination with ritonavir to treat HIV infection.
Loratadine,Loratadine is a non-sedating antihistamine used to relieve allergy symptoms such as runny nose and sneezing.
Lorazepam,"Lorazepam is a benzodiazepine used to treat anxiety disorders, insomnia, and as a premedication for medical procedures."
Lorcaserin,Lorcaserin is a selective serotonin 2C receptor agonist used for weight management in adults.
Lorlatinib,Lorlatinib is a targeted therapy used for the treatment of anaplastic lymphoma kinase (ALK)-positive non-small cell lung cancer.
Lornoxicam,Lornoxicam is a non-steroidal anti-inflammatory drug (NSAID) used for the treatment of pain and inflammation.
Losartan,Losartan is an angiotensin II receptor antagonist used primarily for the treatment of hypertension and to protect the kidneys in diabetic patients.
Loteprednol etabonate,Loteprednol etabonate is a corticosteroid used to treat inflammation and allergic conditions of the eye.
Lovastatin,Lovastatin is a statin medication used to lower cholesterol levels in the blood and reduce the risk of cardiovascular disease.
Low Dextrans,"Low Dextrans refers to a type of dextran with a lower molecular weight, often used in various medical and laboratory applications."
Loxapine,Loxapine is an antipsychotic medication primarily used to treat schizophrenia and acute manic episodes.
Lubiprostone,Lubiprostone is a medication used to treat chronic idiopathic constipation and irritable bowel syndrome with constipation.
Luliconazole,Luliconazole is an antifungal medication used topically to treat skin infections such as tinea corporis and tinea pedis.
Lumefantrine,Lumefantrine is an antimalarial medication used in combination with artemether to treat uncomplicated malaria.
Lurasidone,Lurasidone is an atypical antipsychotic used primarily for the treatment of schizophrenia and bipolar disorder.
Luvistin,"Luvistin is a brand name for the medication atorvastatin, which is used to lower cholesterol and triglyceride levels."
Lycopene,"Lycopene is a carotenoid and antioxidant found in tomatoes and other red fruits, associated with various health benefits."
Lymecycline,"Lymecycline is a tetracycline antibiotic used to treat bacterial infections, particularly in dermatological conditions like acne."
Lynestrenol,Lynestrenol is a synthetic progestin used in hormonal contraceptives and for treating various gynecological disorders.
Lysine,Lysine is an essential amino acid important for protein synthesis and various metabolic functions in the body.
Macitentan,Macitentan is an endothelin receptor antagonist used in the treatment of pulmonary arterial hypertension.
Magaldrate,"Magaldrate is an antacid used to relieve symptoms of excess stomach acid, such as heartburn and indigestion."
Magnesium,"Magnesium is a mineral essential for numerous biochemical reactions in the body, including muscle and nerve function."
Magnesium Bisglycinate,"A chelated form of magnesium that is bound to the amino acid glycine, known for its high bioavailability."
Magnesium Carbonate,"A magnesium salt of carbonic acid, often used as a dietary supplement and antacid."
Magnesium Citrate,"A magnesium salt of citric acid, commonly used as a dietary supplement and for its laxative properties."
Magnesium Hydroxide,"An inorganic compound that acts as an antacid and laxative, often used to relieve indigestion and constipation."
Magnesium Oxide,A magnesium compound that is often used as a supplement and in various pharmaceutical applications.
Magnesium Sulphate,"A mineral compound used in various medical applications, including as a laxative and for treating magnesium deficiency."
Magnesium Trisilicate,"An antacid that combines magnesium with silica, used to relieve symptoms of indigestion and heartburn."
Magnesium Valproate,"A medication used primarily in the treatment of epilepsy and bipolar disorder, derived from valproic acid."
Mandelic acid,An alpha hydroxy acid (AHA) used in skincare products for its exfoliating properties and in the treatment of acne.
Mannitol,"A sugar alcohol used as a diuretic and in the treatment of increased intracranial pressure, as well as a sweetener in food products."
Maraviroc,Maraviroc is an antiretroviral medication used to treat HIV infection by blocking the CCR5 co-receptor on T-cells.
Measles Vaccine,"The Measles Vaccine is a live attenuated vaccine that provides immunity against measles, a highly contagious viral disease."
Mebendazole,"Mebendazole is an anthelmintic drug used to treat infections caused by parasitic worms, such as pinworms and roundworms."
Mebeverine,Mebeverine is an antispasmodic medication used to relieve symptoms of irritable bowel syndrome and other gastrointestinal disorders.
Mecetronium,Mecetronium is a neuromuscular blocking agent used in anesthesia to facilitate muscle relaxation during surgical procedures.
Meclizine,"Meclizine is an antihistamine used to prevent and treat nausea, vomiting, and dizziness caused by motion sickness."
Medroxyprogesterone acetate,Medroxyprogesterone acetate is a synthetic progestin used in hormone replacement therapy and to treat various menstrual disorders.
Mefenamic Acid,Mefenamic acid is a nonsteroidal anti-inflammatory drug (NSAID) used to relieve mild to moderate pain and to treat menstrual pain.
Mefloquine,Mefloquine is an antimalarial medication used for the prevention and treatment of malaria.
Megestrol,"Megestrol is a synthetic progestin used primarily in the treatment of breast and endometrial cancers, as well as for appetite stimulation in patients with weight loss."
Meglumine Diatrizoate,"A contrast agent used in radiographic imaging procedures, particularly for enhancing the visibility of blood vessels and organs."
Melatonin,A hormone produced by the pineal gland that regulates sleep-wake cycles and is commonly used as a dietary supplement for sleep disorders.
Melitracen,"An antidepressant medication belonging to the tricyclic class, primarily used for the treatment of depressive disorders."
Meloxicam,A nonsteroidal anti-inflammatory drug (NSAID) used to relieve pain and inflammation in conditions such as arthritis.
Melphalan,"An alkylating agent used in chemotherapy, primarily for the treatment of multiple myeloma and ovarian cancer."
Memantine,Memantine is an NMDA receptor antagonist used primarily in the treatment of moderate to severe Alzheimer's disease.
Menadione,"Menadione, also known as vitamin K3, is a synthetic form of vitamin K that plays a role in blood coagulation."
Menadione Sodium Bisulfite,Menadione Sodium Bisulfite is a water-soluble form of menadione used as a vitamin K supplement and in various pharmaceutical applications.
Meningococcal Polysaccharide Vaccine,"Meningococcal Polysaccharide Vaccine is used to protect against infections caused by Neisseria meningitidis serogroups A, C, W, and Y."
Meningococcal Vaccine,"Meningococcal Vaccine refers to vaccines that protect against meningococcal disease caused by Neisseria meningitidis, including both polysaccharide and conjugate formulations."
Menotrophin,"A hormone preparation containing follicle-stimulating hormone (FSH) and luteinizing hormone (LH), used in fertility treatments."
Menthol,"A compound derived from mint oils, commonly used for its cooling sensation and as a flavoring agent."
Mepacrine,"An antimalarial and anti-inflammatory drug, also known as quinacrine, used in the treatment of certain infections."
Mephenesin,A muscle relaxant that acts centrally to relieve muscle spasms and discomfort.
Mephentermine,A sympathomimetic agent used primarily as a vasopressor to treat hypotension.
Mepolizumab,Mepolizumab is a monoclonal antibody that targets interleukin-5 (IL-5) and is used in the treatment of severe asthma and eosinophilic disorders.
Mercaptopurine,Mercaptopurine is an antimetabolite medication used primarily in the treatment of acute lymphoblastic leukemia and as an immunosuppressant in organ transplantation.
Meropenem,"Meropenem is a broad-spectrum carbapenem antibiotic used to treat a variety of bacterial infections, particularly those caused by multidrug-resistant organisms."
Mesalazine,Mesalazine is an anti-inflammatory medication used to treat inflammatory bowel diseases such as ulcerative colitis and Crohn's disease.
Mesna,"Mesna is a cytoprotective agent used to reduce the risk of hemorrhagic cystitis associated with certain chemotherapy agents, particularly ifosfamide."
Messenger ribonucleic acid,"Messenger ribonucleic acid (mRNA) is a type of RNA that conveys genetic information from DNA to the ribosome, where proteins are synthesized."
Mesterolone,"Mesterolone is an anabolic steroid and a derivative of dihydrotestosterone, primarily used in the treatment of male hypogonadism and certain types of anemia."
Metadoxine,Metadoxine is a drug used to treat acute alcohol intoxication and is thought to enhance the elimination of alcohol from the body.
Metamizole,"Metamizole, also known as dipyrone, is a non-opioid analgesic and antipyretic used to relieve pain and reduce fever."
Metaxalone,Metaxalone is a muscle relaxant used to relieve muscle spasms and discomfort associated with acute musculoskeletal conditions.
